sheet,position_no,title_th,org_unit_code,position_type_code
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-147 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-031 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-077 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-079 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-148 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-189 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-190 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-191 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-149 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-150 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-080 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-151 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-192 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-193 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-194 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-152 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-153 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-081 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-265 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-195 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-196 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-197 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-155 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-156 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-157 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-032 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-078 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-082 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-044 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-045 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-158 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-198 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-199 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-200 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-201 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-159 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-160 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-161 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-033 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-079 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-083 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-046 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
